name,ticker,market,category
KODEX 반도체,091160,KRX,반도체
TIGER 반도체TOP10,396500,KRX,반도체
TIGER 미국필라델피아반도체,381180,KRX,미국반도체
KODEX 2차전지산업,305720,KRX,2차전지
TIGER 미국나스닥100,133690,KRX,미국지수
KODEX 미국S&P500,379800,KRX,미국지수
TIGER 미국배당다우존스,458730,KRX,배당
KODEX 바이오,244580,KRX,바이오
KODEX 골드선물H,132030,KRX,원자재(금)
KODEX 단기채권,153130,KRX,채권
TIGER 리츠부동산인프라,329200,KRX,리츠
TIGER 차이나CSI300,192090,KRX,중국
TIGER 200 IT,139260,KRX,국내IT
KODEX 은행,091170,KRX,금융
TIGER 200,102110,KRX,코스피
삼성전자,005930,KRX,반도체/대형주
SK하이닉스,000660,KRX,반도체/대형주
현대차,005380,KRX,자동차
기아,000270,KRX,자동차
NAVER,035420,KRX,인터넷
카카오,035720,KRX,인터넷
LG화학,051910,KRX,화학/2차전지
삼성SDI,006400,KRX,2차전지
삼성바이오로직스,207940,KRX,바이오
셀트리온,068270,KRX,바이오
POSCO홀딩스,005490,KRX,소재
KB금융,105560,KRX,금융
신한지주,055550,KRX,금융
현대모비스,012330,KRX,자동차부품
한국전력,015760,KRX,유틸리티
KT&G,033780,KRX,필수소비재
