구분,단계,세부분류,기업명,티커,시장,주요제품,시장점유율,주요수출국,고객사,특허수,매출액,영업이익,비고
Upstream,연료·원료,가스 도입·도매,한국가스공사,036460,KOSPI,LNG 도입·도매,,,,,,2101150999999
Midstream,발전·전력서비스,발전·플랜트 서비스,한전기술,052690,KOSPI,원전·발전 설계,,,,,,35452646024
Midstream,발전·전력서비스,발전·플랜트 서비스,한전KPS,051600,KOSPI,발전설비 정비,,,,,,
Midstream,발전·전력서비스,발전·전력서비스,한전산업,130660,KOSPI,발전운전·검침,,,,,,6574990617
Midstream,전력기자재,연료전지·발전기,두산퓨얼셀,336260,KOSPI,연료전지,,,,,454794706613,
Midstream,전력기자재,연료전지·발전기,범한퓨얼셀,382900,KOSDAQ,연료전지,,,,,,
Midstream,전력기자재,연료전지·발전기,에스피지,058610,KOSDAQ,전동기·기어모터,,,,,341670161923,17939051891
Midstream,전력기자재,연료전지·발전기,지엔씨에너지,119850,KOSDAQ,비상발전기·집단에너지,,,,,262633597538,49372497571
Midstream,전력기자재,변압기·중전기,LS ELECTRIC,010120,KOSPI,배전·변압·자동화,,,,,4965798552980,426407143017
Midstream,전력기자재,변압기·중전기,효성중공업,298040,KOSPI,변압기·중공업,,,,,5968511616609,746968417289
Midstream,전력기자재,변압기·중전기,HD현대일렉트릭,267260,KOSPI,변압기·배전,,,,,4079497658529,995313437790
Midstream,전력기자재,변압기·중전기,제룡전기,033100,KOSDAQ GLOBAL,변압기,,,,,224000000000,67000000000
Midstream,전력기자재,변압기·중전기,산일전기,062040,KOSPI,변압기,,,,,501946220879,178634181593
Midstream,전력기자재,배전반·제어반,광명전기,017040,KOSPI,수배전반·개폐장치,,,,,95900000000,-10000000000
Midstream,전력기자재,배전반·제어반,선도전기,007610,KOSPI,배전반·차단기,,,,,,
Midstream,전력기자재,배전반·제어반,지투파워,388050,KOSDAQ,수배전반·태양광,,,,,77377777992,
Midstream,전력기자재,배전반·제어반,서전기전,189860,KOSDAQ,배전반,,,,,68100000000,-8800000000
Midstream,전력기자재,배전반·제어반,피앤씨테크,237750,KOSDAQ,디지털 보호계전기,,,,,27600000000,
Midstream,전력기자재,전력변환·신재생,에스에너지,095910,KOSDAQ,태양광 모듈·발전,,,,,102439706002,18667879172
Midstream,전력기자재,전력변환·신재생,파루,043200,KOSDAQ,태양광·전력변환,,,,,28785165561,
Midstream,전력기자재,전력변환·신재생,빅텍,065450,KOSDAQ,전력변환·방산,,,,,82956728421,
Midstream,전력기자재,ESS·에너지저장,한중엔시에스,107640,KOSDAQ,ESS·BMS,,,,,,
Midstream,전력기자재,ESS·에너지저장,동양이엔피,079960,KOSDAQ,전원장치·ESS,,,,,,53617577881
Downstream,전력·가스·열 공급,전력 송배전·판매,한국전력,015760,KOSPI,전력 송배전·판매,,,,,97429346000000,
Downstream,전력·가스·열 공급,집단에너지·열,한국지역난방공사,071320,KOSPI,지역난방·열공급,,,,,,
Downstream,전력·가스·열 공급,도시가스,삼천리,004690,KOSPI,도시가스,,,,,5275461012669,159630890886
Downstream,전력·가스·열 공급,도시가스,서울가스,017390,KOSPI,도시가스,,,,,1827997485378,
Downstream,전력·가스·열 공급,도시가스,경동도시가스,267290,KOSPI,도시가스,,,,,,33045868446
Downstream,전력·가스·열 공급,도시가스,대성에너지,117580,KOSPI,도시가스,,,,,995129899139,20476271942
Downstream,전력·가스·열 공급,도시가스,지에스이,053050,KOSDAQ,도시가스(경남),,,,,170100000000,7300000000
