date,open,high,low,close,volume
2010-01-01,222.38,222.38,222.38,222.38,
2010-01-04,222.38,224.38,222.38,223.58,
2010-01-05,224.78,224.78,222.68,223.18,
2010-01-06,223.63,225.73,223.63,224.93,
2010-01-07,224.98,225.28,221.83,222.08,
2010-01-08,222.73,223.43,220.23,223.03,
2010-01-11,223.58,224.58,222.73,222.73,
2010-01-12,222.98,223.43,221.13,223.33,
2010-01-13,221.43,221.63,219.13,219.58,
2010-01-14,220.28,223.03,220.13,222.08,
2010-01-15,222.38,223.83,221.33,222.93,
2010-01-18,222.38,225.03,221.28,224.23,
2010-01-19,225.65,225.83,223.63,224.58,
2010-01-20,225.73,225.78,223.78,224.58,
2010-01-21,226.33,226.33,226.33,226.33,
2010-01-22,223.68,224.03,217.93,220.18,
2010-01-25,217.53,220.48,217.13,219.13,
2010-01-26,218.58,218.83,213.23,214.48,
2010-01-27,214.93,215.38,212.58,212.58,
2010-01-28,213.53,216.33,212.43,215.28,
2010-01-29,212.63,213.38,209.33,210.03,
2010-01-31,209.88,209.88,209.88,209.88,
2010-02-01,209.53,211.28,208.68,209.88,
2010-02-02,211.03,211.78,208.35,208.68,
2010-02-03,211.08,211.93,209.58,211.38,
2010-02-04,211.35,211.78,210.13,210.78,
2010-02-05,204.53,204.53,204.53,204.53,
2010-02-08,204.38,204.48,202.88,203.23,
2010-02-09,203.23,205.48,202.9,205.13,
2010-02-10,206.28,206.53,204.48,205.43,
2010-02-11,206.25,210.13,206.15,208.58,
2010-02-12,208.83,208.93,205.68,207.83,
2010-02-16,207.58,210.93,207.28,209.48,
2010-02-17,211.53,213.83,211.43,213.48,
2010-02-18,213.53,213.58,212.08,212.78,
2010-02-19,210.98,212.78,208.03,208.73,
2010-02-22,211.88,214.28,211.88,213.23,
2010-02-23,213.2,213.63,211.68,213.43,
2010-02-24,211.68,212.08,209.93,210.88,
2010-02-25,211.53,211.73,206.35,207.03,
2010-02-26,208.15,209.03,206.83,207.63,
2010-03-01,207.68,207.68,207.68,207.68,
2010-03-02,210.28,212.38,210.23,211.33,
2010-03-03,211.18,212.03,210.98,212.03,
2010-03-04,212.48,213.28,210.78,211.48,
2010-03-05,212.23,214.33,212.23,214.33,
2010-03-08,216.55,218.08,216.55,217.73,
2010-03-09,217.45,218.23,217.18,218.23,
2010-03-10,218.38,218.48,217.1,218.13,
2010-03-11,218.98,219.58,216.98,217.33,
2010-03-12,218.5,219.13,216.93,218.33,
2010-03-15,218.53,218.98,214.93,215.98,
2010-03-16,216.78,217.08,215.28,216.38,
2010-03-17,218.13,221.18,217.93,220.83,
2010-03-18,220.28,221.38,219.63,220.08,
2010-03-19,220.93,221.33,219.93,221.33,
2010-03-22,219.33,219.33,219.33,219.33,
2010-03-23,220.98,221.73,220.28,220.98,
2010-03-24,222.43,222.68,220.48,221.18,
2010-03-25,221.13,221.88,220.58,221.28,
2010-03-26,220.98,222.58,219.88,222.23,
2010-03-29,220.75,223.03,220.68,222.28,
2010-03-30,223.58,223.68,222.53,223.23,
2010-03-31,223.18,223.18,221.73,222.43,
2010-04-01,223.28,226.38,223.08,226.03,
2010-04-02,226.48,227.23,225.78,227.23,
2010-04-05,227.68,228.43,226.68,228.43,
2010-04-06,229.03,229.08,227.63,228.33,
2010-04-07,228.43,228.83,227.98,227.98,
2010-04-08,227.48,229.08,227.35,229.08,
2010-04-09,228.53,228.93,225.38,227.13,
2010-04-12,228.38,228.78,224.43,225.45,
2010-04-13,225.58,226.23,223.78,225.58,
2010-04-14,227.08,229.18,226.83,228.48,
2010-04-15,229.78,230.03,228.13,229.58,
2010-04-16,229.13,229.23,226.23,227.98,
2010-04-19,225.38,226.53,223.33,223.68,
2010-04-20,224.88,225.83,224.13,225.13,
2010-04-21,226.88,229.78,226.88,228.73,
2010-04-22,227.45,228.38,226.18,228.38,
2010-04-23,228.93,229.08,226.93,227.63,
2010-04-26,229.18,231.33,228.93,229.88,
2010-04-27,229.38,230.23,228.88,229.88,
2010-04-28,225.05,226.88,224.9,226.53,
2010-04-29,227.38,227.38,225.13,226.58,
2010-04-30,227.93,229.03,227.73,228.33,
2010-05-03,225.73,225.78,224.58,224.93,
2010-05-04,225.98,226.78,224.18,224.88,
2010-05-06,220.18,220.63,219.08,219.78,
2010-05-07,212.58,216.08,212.1,215.08,
2010-05-10,216.58,218.93,215.68,218.53,
2010-05-11,220.58,220.58,216.63,217.33,
2010-05-12,218.13,219.48,216.08,216.08,
2010-05-13,218.93,221.98,218.93,221.28,
2010-05-14,219.68,221.63,217.93,220.53,
2010-05-17,216.53,217.18,214.23,215.53,
2010-05-18,216.78,216.88,213.18,214.58,
2010-05-19,211.33,212.43,209.38,212.43,
2010-05-20,211.38,213.13,207.73,209.13,
2010-05-24,207.88,211.08,207.28,209.63,
2010-05-25,207.08,207.43,201.93,204.23,
2010-05-26,207.23,207.43,203.18,204.98,
2010-05-27,204.23,211.98,203.68,211.98,
2010-05-28,211.93,211.98,209.63,211.38,
2010-05-30,211.93,212.15,211.93,212.15,
2010-05-31,212.13,213.68,211.43,213.23,
2010-06-01,212.6,213.63,211.43,211.43,
2010-06-02,211.43,211.43,211.43,211.43,
2010-06-03,214.28,217.98,213.88,217.23,
2010-06-04,217.18,218.53,216.85,218.53,
2010-06-06,213.7,213.93,213.7,213.93,
2010-06-07,213.98,214.63,211.88,214.33,
2010-06-08,214.28,216.93,212.93,215.73,
2010-06-09,215.68,216.9,214.13,216.55,
2010-06-10,216.48,219.58,214.93,219.58,
2010-06-11,219.48,220.58,217.98,220.13,
2010-06-13,220.83,221.08,220.83,221.03,
2010-06-14,221.23,223.68,221.18,221.63,
2010-06-15,221.53,224.63,221.28,224.43,
2010-06-16,224.33,224.93,223.18,224.13,
2010-06-17,224.05,225.08,223.83,224.98,
2010-06-18,225.03,225.13,223.68,224.73,
2010-06-20,227.53,227.63,227.43,227.48,
2010-06-21,227.53,229.23,226.43,226.73,
2010-06-22,226.83,227.88,226.23,226.38,
2010-06-23,226.48,227.58,225.73,225.73,
2010-06-24,225.78,228.58,225.68,226.08,
2010-06-25,226.03,227.18,225.03,226.43,
2010-06-28,226.73,227.13,225.6,227.13,
2010-06-29,227.08,227.93,223.43,223.78,
2010-06-30,220.2,221.73,219.68,221.03,
2010-07-01,219.68,220.58,216.43,218.83,
2010-07-02,219.28,219.9,216.98,217.33,
2010-07-04,217.33,218.08,217.33,218.08,
2010-07-05,218.03,218.43,216.73,217.73,
2010-07-06,215.9,219.23,214.13,218.68,
2010-07-07,218.48,218.48,216.48,217.88,
2010-07-08,220.83,222.78,220.43,222.33,
2010-07-09,222.38,225.33,221.28,225.33,
2010-07-11,225.18,226.08,225.18,225.68,
2010-07-12,225.78,227.13,225.08,227.08,
2010-07-13,227.13,230.13,226.73,230.03,
2010-07-14,229.98,231.43,229.98,230.38,
2010-07-15,229.83,230.58,229.28,229.53,
2010-07-16,229.28,229.93,227.18,227.53,
2010-07-18,227.33,227.33,227.33,227.33,
2010-07-19,224.6,227.33,224.08,225.98,
2010-07-20,224.98,227.03,224.38,226.28,
2010-07-21,229.1,229.18,226.93,228.33,
2010-07-22,227.68,229.08,226.63,226.63,
2010-07-23,229.48,230.48,228.48,229.78,
2010-07-25,230.08,230.08,230.08,230.08,
2010-07-26,230.38,231.73,230.28,231.38,
2010-07-27,231.88,232.33,231.33,231.68,
2010-07-30,231.73,232.08,229.83,230.18,
2010-08-01,230.08,230.08,230.08,230.08,
2010-08-02,231.48,233.73,231.28,233.33,
2010-08-03,234.33,234.48,233.73,234.13,
2010-08-04,234.43,234.48,232.58,233.68,
2010-08-05,234.88,235.18,232.18,233.63,
2010-08-06,233.13,233.68,231.68,233.33,
2010-08-08,233.28,233.28,233.28,233.28,
2010-08-09,232.18,233.98,231.78,233.98,
2010-08-11,231.93,232.08,228.58,228.58,
